id,script,inflection,comment
5416,ordinal 16,m,
5417,ordinal 17,m,
5418,ordinal 18,m,
5419,ordinal 19,m,
5420,ordinal 20,m,
5421,ordinal 21,m,
5422,ordinal 22,m,
5423,ordinal 23,m,
5424,ordinal 24,m,
5425,ordinal 25,m,
5426,ordinal 26,m,
5427,ordinal 27,m,
5428,ordinal 28,m,
5429,ordinal 29,m,
5430,ordinal 30,m,
5431,ordinal 31,m,
5432,power car problems,m,
5433,the train running on reduced engine power,m,
5434,crewing difficulties,m,
5435,refueling,m,
5436,the late running of a preceding train,m,
5437,being held awaiting a late running connection,m,
5438,first class accomodation is situated in the gold zone,m,
5439,a buffet service is in the blue zone,m,
5440,and standard accomodation is in the purple zone,m,
5441,ordinal 1,e,
5442,ordinal 2,e,
5443,ordinal 3,e,
5444,ordinal 4,e,
5445,ordinal 5,e,
5446,ordinal 6,e,
5447,ordinal 7,e,
5448,ordinal 8,e,
5449,ordinal 9,e,
5450,ordinal 10,e,
5451,ordinal 11,e,
5452,ordinal 12,e,
5453,ordinal 13,e,
5454,ordinal 14,e,
5455,ordinal 15,e,
5456,ordinal 16,e,
5457,ordinal 17,e,
5458,ordinal 18,e,
5459,ordinal 19,e,
5460,ordinal 20,e,
5461,ordinal 21,e,
5462,ordinal 22,e,
5463,ordinal 23,e,
5464,ordinal 24,e,
5465,ordinal 25,e,
5466,ordinal 26,e,
5467,ordinal 27,e,
5468,ordinal 28,e,
5469,ordinal 29,e,
5470,ordinal 30,e,
5471,ordinal 31,e,
5472,this train is formed of,s,
5473,one coach,e,
5474,one coach only,e,
5475,coach,e,
5476,one coach,m,
5477,coach,m,
5478,a single coach,e,
5480,on behalf of,s,
5481,i would like to apologise for the inconvenience that has been caused,e,
5482,i would like to apologise for the delay to your journey,e,
5483,premier service coaches f and g,s,
5484,will be located in the,m,
5485,premier service coaches f and g will be located in the,s,
5486,is located in the,m,
5487,premier service coaches f and g are located in the,s,
5488,first class accomodation,s,
5489,coach h,m,
5490,please take care when alighting here due to,s,
5491,a temporary fault on the station lighting,e,
5492,freezing conditions which may make the platforms slippery,e,
5493,building works being carried out,e,
5494,extremely crowded platforms,e,
5495,a gap between the train and the platform,e,
5496,the condition of the platform surface,e,
5497,customers using personal stereo equipment on trains,s,
5498,british transport police will in attendance on trains and at,s,
5500,a,m,
5501,b,m,
5502,c,m,
5503,d,m,
5504,e,m,
5505,f,m,
5506,g,m,
5507,h,m,
5508,i,m,
5509,j,m,
5510,k,m,
5511,l,m,
5512,m,m,
5513,n,m,
5514,o,m,
5515,p,m,
5516,q,m,
5517,r,m,
5518,s,m,
5519,t,m,
5520,u,m,
5521,v,m,
5522,w,m,
5523,x,m,
5524,y,m,
5525,z,m,
5526,customers who have come to view the special steam service,s,
5527,customers who have come to view the orient express service,s,
5528,are advised that this service is expected to pass through platform,m,
5529,are advised that this service is expected to pass through in approximately,m,
5530,a,e,
5531,b,e,
5532,c,e,
5533,d,e,
5534,e,e,
5535,f,e,
5536,g,e,
5537,h,e,
5538,i,e,
5539,j,e,
5540,k,e,
5541,l,e,
5542,m,e,
5543,n,e,
5544,o,e,
5545,p,e,
5546,q,e,
5547,r,e,
5548,s,e,
5549,t,e,
5550,u,e,
5551,v,e,
5552,w,e,
5553,x,e,
5554,y,e,
5555,z,e,
5564,please note this train will not call at,s,
5565,please note this train will call additionally at,s,
5566,and this train will not call at,m,
5567,is being delayed due to,m,
5568,has been cancelled due to,m,
5569,the retimed,m,
5570,the delayed,m,
5571,the retimed delayed,m,
5572,platform,s,
5573,0,m,
5583,for the,m,
5584,for the retimed,m,
5585,for the delayed,m,
5586,for the retimed delayed,m,
5587,service from this station,m,
5588,service from this station to,m,
5589,this train is formed of one coach only,w,
5590,is situated in the blue zone,e,
5591,is situated in the gold zone,e,
5592,is situated in the purple zone,e,
5593,is situated in the green zone,e,
5594,is situated in the red zone,e,
5595,is situated in the yellow zone,e,
5596,is situated in the orange zone,e,
5597,a family carriage,s,
5598,a buffet service,s,
5599,business standard accomodation,s,
5600,WTO,m,
5601,WRN,m,
5602,WLE,m,
5603,Worcester,m,
5604,WRT,m,
5605,Wroxham,m,
5606,WMD,m,
5607,WHG,m,
5608,WBP,m,
5609,WBP - for earls court,m,
5610,AVY,m,
5611,ABH,m,
5612,AGL,m,
5614,ACG,m,
5615,Acocks,m,
5616,ACC,m,
5617,AML,m,
5618,Acton South,m,
5619,ADD,m,
5620,SNA - Agbrigg,m,
5621,ANS,m,
5622,AIN,m,
5623,AIR,m,
5624,ADR,m,
5625,AAP,m,
5626,ALX,m,
5627,ASS,m,
5628,ALN,m,
5629,ABC,m,
5647,Willenhall,m,
5648,Aldridge,m,
5652,a restaurant service,m,
5653,a weekend first facility,m,
5654,standard accomodation,m,
5655,first class accomodation,m,
5664,COY,m,
5665,CDI,m,
5666,CUM,m,
5667,Cumbrae,m,
5668,???,m,
5669,DCT,m,
5670,DPT,m,
5671,DIG,m,
5672,Dinas,m,
5673,DNS,m,
5674,DGL,m,
5675,DOC,m,
5676,DOL,m,
5677,DCW,m,
5678,DTW,m,
5679,EAR,m,
5680,EBK,m,
5681,EGG,m,
5682,EXT,m,
5683,EXM,m,
5684,EXN,m,
5685,FRW,m,
5686,FNN,m,
5687,FEL,m,
5688,FER,m,
5689,FFA,m,
5690,FIN,m,
5691,GMG,m,
5692,GTH,m,
5693,GFF,m,
5694,GOR,m,
5695,GTN,m,
5696,GRT,m,
5697,GMV,m,
5698,GSL,m,
5699,HND,m,
5700,HAN,m,
5701,HSL,m,
5702,HTN,m,
5703,HAY,m,
5704,HHL,m,
5705,HLL,m,
5706,PCD,m,
5707,HOT,m,
5708,HYD,m,
5709,HYB,m,
5710,HPT,m,
5711,HOU,m,
5712,HGD,m,
5713,ISP,m,
5714,IVR,m,
5715,IVY,m,
5716,KEM,m,
5717,KEY,m,
5718,KWL,m,
5719,KGT,m,
5720,KGN,m,
5721,KNI,m,
5722,KGS,m,
5723,KIT,m,
5724,KNU,m,
5725,LAM,m,
5726,LNY,m,
5727,LAP,m,
5728,LWH,m,
5729,LED,m,
5730,LEO,m,
5731,LVT,m,
5732,LLT,m,
5733,LNB,m,
5734,LLN,m,
5735,LLL,m,
5736,LLV,m,
5737,LLO,m,
5738,LLJ,m,
5739,LLI,m,
5740,LLG,m,
5741,LLM,m,
5742,LLH,m,
5743,LGO,m,
5744,LLS,m,
5745,LNR,m,
5746,LNW,m,
5747,LLY,m,
5748,LNG,m,
5749,LYD,m,
5750,LYM,m,
5751,LYC,m,
5752,MST,m,
5753,MEW,m,
5754,MDN,m,
5755,MAI,m,
5756,MVL,m,
5757,MAO,m,
5758,MKM,m,
5759,MEN,m,
5760,MER,m,
5761,MEV,m,
5762,MDG,m,
5763,MTP,m,
5764,MRD,m,
5765,MTL,m,
5766,MTA,m,
5767,NAN,m,
5768,NBY,m,
5769,NRC,m,
5770,NTC,m,
5771,NNP,m,
5772,NCM,m,
5773,NSH,m,
5774,OLF,m,
5775,OVR,m,
5776,PAN,m,
5777,PTF,m,
5778,PSN,m,
5779,gner,e,
5780,connex,e,
5781,thameslink city metro,e,
5782,thameslink city flier,e,
5783,connex racecourse special,e,
5784,connex express,e,
5785,gatwick express,e,
5786,south west trains,e,
5787,silverlink metro,e,
5788,virgin trains,e,
5789,sussex scot,e,
5790,virgin trains the sussex scot,e,
5791,standard accomodation is situated at the,s,
5792,standard accomodation is situated in the,s,
5793,this weekend,e,
5794,this weekend,e,
5795,valley line,m,
5797,a fatality,e,
5798,a derailment,e,
5799,congestion,e,
5800,replacing emergency equipment on this train,e,
5801,additional coaches being attached to the train,e,
5802,additional cleaning duties,e,
5803,please ask station staff for information,w,
5804,awaiting replacement coaches,e,
5805,police activity on the line,e,
5806,the emergency communication cord being activated on this train,e,
5807,the emergency communication cord being activated,e,
5808,on a preceding train,e,
5809,engineering work,e,
5810,a broken rail,e,
5811,a gas leak in the area,e,
5812,this train making additional stops on its journey,e,
5813,a lineside fire,e,
5814,emergency services have been called,e,
5815,a cable fire,e,
5816,overcrowding,e,
5817,overcrowding caused by the,e,
5818,short formation of this train,e,
5819,a fault on a level crossing,e,
5820,"after having been held awaiting late running connection (old, cut)",e,
5821,after having been held for a late running connection,e,
5822,a chemical spillage,e,
5823,a temporary shortage of drivers,e,
5824,a temporary shortage of train crews,e,
5825,slipper rail conditions,e,
5826,a shortage of train dispatch staff,e,
5827,late running of a previous train,e,
5828,a major electrical power fault,e,
5829,industrial action,e,
5830,christmas holidays,e,
5831,PNY,m,
5832,PEN,m,
5833,PGM,m,
5834,PER,m,
5835,PTB,m,
5836,PSH,m,
5837,PEW,m,
5838,PEW - Road Coach,m,
5839,PYC,m,
5840,PIL,m,
5841,POL,m,
5842,PLT,m,
5843,PPL,m,
5844,PPD,m,
5845,POR,m,
5846,PMA,m,
5847,PRS,m,
5848,PUT,m,
5849,QYD,m,
5850,RAD,m,
5851,RDR,m,
5852,RDA,m,
5853,RHI,m,
5854,RHY,m,
5855,RMD,m,
5856,STS,m,
5857,SND,m,
5858,SAD,m,
5859,SRR,m,
5860,SDF,m,
5861,SML,m,
5862,SVB,m,
5863,STJ,m,
5864,SFR,m,
5865,SHF,m,
5866,SHI,m,
5867,SIP,m,
5868,SHH,m,
5869,STL,m,
5870,SBF,m,
5871,SBV,m,
5872,SGM,m,
5873,SJP,m,
5874,SMT,m,
5875,SMG,m,
5876,SNS,m,
5877,SRD,m,
5878,SHU,m,
5879,SAV,m,
5880,STD,m,
5881,SUG,m,
5882,SNG,m,
5883,SWI - Road Coach,m,
5884,TAC,m,
5885,TAF,m,
5886,TAP,m,
5887,TFC,m,
5888,THA,m,
5889,THE,m,
5890,THO,m,
5891,TLH,m,
5892,TIR,m,
5893,TPN,m,
5894,TDU,m,
5895,TNP,m,
5896,TOP,m,
5897,TRF,m,
5898,TRE,m,
5899,TRH,m,
5900,TRB,m,
5901,TRY,m,
5902,TRD,m,
5903,TWI,m,
5904,TWY,m,
5905,TGS,m,
5906,UMB,m,
5907,UNI,m,
5908,VIR,m,
5909,WAN,m,
5910,WNT,m,
5911,WGV,m,
5912,WRW,m,
5913,WRP,m,
5914,WNG,m,
5915,WEM,m,
5916,WDT,m,
5917,WEA,m,
5918,WNM,m,
5919,WTC,m,
5920,WHT,m,
5921,WTN,m,
5922,WMI,m,
5923,WMC (2),m,
5924,WMC,m,
5925,WNS,m,
5926,WTI,m,
5927,WKM,m,
5928,WOF,m,
5929,WOR,m,
5930,WRE,m,
5931,YAE,m,
5932,YAT,m,
5933,YEO,m,
5934,YVP,m,
5935,YNW,m,
5936,YRT,m,
5937,YSM,m,
5938,YSR,m,
5939,west wales,m,
5940,the south coast,m,
5941,the north,m,
5942,birmingham and the midlands,m,
5943,valley line services,m,
5944,cornwall,m,
5945,scotland,m,
5946,FLN,m,
5947,LOO,m,
5948,LST - Liverpool Street,m,
5949,FST,m,
5950,LST,m,
5951,MYB - Marylebone,m,
5952,CWB,m,
5953,EUS - Euston,m,
5954,FST - Fenchurch Street,m,
5955,SNL,m,
5956,WCP,m,
5957,MOT,m,
5958,is a request stop and passengers for this station,m,
5960,should ask the conductor on the train to arrange for the train to stop,m,
5961,to allow them to alight,e,
5962,are request stops and customers for these stations,m,
5963,should ask the conductor on the train to arrange for the train to stop,m,
5964,to allow them to alight,e,
5965,is a request stop and customers for this station,m,
5966,should ask the conductor on the train to arrange for the train to stop,m,
5967,to allow them to alight,e,
5968,please make sure you close all doors firmly behind you,m,
5969,when boarding trains that do not have automatic doors,e,
5970,should travel in the front coach of the train,e,
5971,should travel in the middle coach of the train,e,
5972,should travel in the rear coach of the train,e,
5973,should travel in the front coaches of the train,e,
5974,should travel in the middle coaches of the train,e,
5975,should travel in the rear coaches of the train,e,
5976,two coaches of the train,e,
5977,three coaches of the train,e,
5978,four coaches of the train,e,
5979,five coaches of the train,e,
5980,six coaches of the train,e,
5981,seven coaches of the train,e,
5982,eight coaches of the train,e,
6001,the next train alongside platform,s,
6009,the next train at platform,s,
6010,the next train on platform,s,
6012,the next train to arrive at platform,s,
6013,the next train to arrive on platform,s,
6014,the next train to arrive alongside platform,s,
6015,an at seat service of snacks and light refreshments,m,
6016,a trolley service of drinks and light refreshments,m,
6017,an at seat service of drinks and light refreshments,m,
6018,a buffet service is available on this train between,m,
6019,a buffet and hot snacks service is available on this train,e,
6020,a buffet and hot snacks service is,m,
6021,a restaurant service is available on this train between,m,
6099,is in the blue zone,m,
6100,is in the gold zone,m,
6101,is in the purple zone,m,
6102,is in the green zone,m,
6103,is in the red zone,m,
6104,is in the yellow zone,e,
6105,is in the orange zone,m,
6106,is situated in the purple zone,e,
6107,is situated in the gold zone,e,
6108,is situated in the green zone,e,
6109,is situated in the red zone,e,
6110,is situated in the orange zone,e,
6111,is situated in the yellow zone,e,
6112,is situated in the blue zone,e,
6113,is in the blue zone,e,
6114,is in the gold zone,m,
6115,is in the purple zone,m,
6116,is in the green zone,m,
6117,is in the red zone,m,
6118,is in the yellow zone,m,
6119,is in the orange zone,m,
6132,no seats are available for passengers joining at this station,w,
6133,is available on this train,e,
6137,is situated at the front of the train,e,
6138,is available on this train between,m,
6139,is available on this train between,m,
6147,reading and bath spa,e,
6151,a temporary speed restriction because of signalling equipment repairs,m,
6152,a temporary speed restriction because of track repairs,m,
6155,holidaymaker express service to,m,
6156,express service to,m,
6157,silverlink county service to,m,
6158,silverlink metro service to,m,
6159,wales and west service to,m,
6160,wales and west alphaline service to,m,
6161,south west trains service to,m,
6162,anglia railways service to,m,
6163,connex service to,m,
6164,connex rail service to,m,
6165,connex south central service to,m,
6166,connex south eastern service to,m,
6167,connex metro service to,m,
6168,connex express service to,m,
6169,connex racecourse special service to,m,
6170,south west trains service to,m,
6171,gner service to,m,
6172,northern spirit service to,m,
6173,central trains service to,m,
6174,great western service to,m,
6175,first great western service to,m,
6176,first great western motorail service to,m,
6177,first great western golden hind service to,,
6178,first great western royal duchy service to,m,
6179,first great western royal wessex service to,m,
6180,first great western mayflower service to,m,
6181,first great western cornish riviera service to,m,
6182,first great western night riviera service to,m,
6183,first great western atlantic coast express service to,m,
6184,first great western intercity service to,m,
6185,first great western red dragon service to,m,
6186,first great western st david service to,m,
6187,first great western hibernian service to,m,
6188,first great western cathedrals express service to,m,
6189,first great western bristolian service to,m,
6190,first great western cheltenham spa express service to,m,
6191,first great western cheltenham flier service to,m,
6192,first great western pembroke coast express service to,m,
6193,first great western torbay express service to,m,
6194,first great western devon belle service to,m,
6195,first great western merchant venturer service to,m,
6196,thames trains service to,m,
6197,chiltern line service to,m,
6198,virgin trains service to,m,
6199,virgin trains cross country service to,m,
6200,virgin trains devon scot service to,m,
6201,virgin trains dorset scot service to,m,
6202,virgin trains midland scot service to,m,
6203,virgin trains wessex scot service to,m,
6204,virgin trains cornish scot service to,m,
6205,virgin trains cornishman service to,m,
6206,virgin trains devonian service to,m,
6207,virgin trains pines express service to,m,
6208,virgin trains armada service to,m,
6209,great eastern service to,m,
6210,thameslink service to,m,
6211,thameslink city metro service to,m,
6212,thameslink city flier service to,,
6213,gatwick express service to,,
6214,wales and west weymouth sand and cycle explorer service to,m,
6215,tarka line service to,m,
6216,alphaline service to,m,
6217,holidaymaker service to,m,
6218,private charter train service to,m,
6219,return charter train service to,m,
6220,steam charter train service to,m,
6221,orient express service to,m,
6222,rugby special service to,m,
6223,football special service to,m,
6224,valley lines service to,m,
6225,virgin trains sussex scot service to,m,
6226,additional football special service to,m,
6227,additional service to,m,
6228,diverted service to,m,
6229,stopping service to,m,
6230,racecourse special service to,m,
6231,special charter service to,m,
6232,cardiff railways service to,m,
6233,for seat reservations holders only service to,m,
6234,(hello celia?) the swanage railway,m,
6235,(hello celia?) the swanage railway service to,m,
6236,(hello celia?) the swanage railway service from,m,
6237,(hello celia?) a trolley service of drinks and light refreshments,s,
6238,is available on this train,e,
6239,(hello celia?) a trolley service of drinks and light,s,
6240,(hello celia?) refreshments is available on this train between,m,
6241,(hello celia?) an at-seat service of drinks and light refreshments is,s,
6242,(hello celia?) available on this train,e,
6243,(hello celia?) an at-seat service of drinks and light refreshments is,s,
6244,(hello celia?) available on this train between,m,
6245,(hello celia?) a buffet service is available on this train,w,
6246,(hello celia?) a buffet service is available on this train between,s,
6247,(hello celia?) a restaurant service is available on this train,w,
6248,(hello celia?) a restaurant service is available on this train between,s,
6249,(hello celia?) refreshments will be provided between,s,
6250,(hello celia?) a quiet carriage is available on this train,w,
6251,a temporary speed restriction because of signalling equipment repairs,e,
6252,a temporary speed restriction because of track repairs,e,
6253,a lift is available behind the footbridge,w,
6254,a lift is available near the footbridge,w,
6255,holidaymaker express service from,m,
6256,express service from,m,
6257,silverlink county service from,m,
6258,silverlink metro service from,m,
6259,wales and west service from,m,
6260,wales and west alphaline service from,m,
6261,south west trains service from,m,
6262,anglia railways service from,m,
6263,connex service from,m,
6264,connex rail service from,m,
6265,connex south central service from,m,
6266,connex south eastern service from,m,
6267,connex metro service from,m,
6268,connex express service from,m,
6269,connex racecourse special service from,m,
6270,south west trains service from,m,
6271,gner service from,m,
6272,northern spirit service from,m,
6273,central trains service from,m,
6274,great western service from,m,
6275,first great western service from,m,
6276,first great western mofromrail service from,m,
6277,first great western golden hind service from,m,
6278,first great western royal duchy service from,m,
6279,first great western royal wessex service from,m,
6280,first great western mayflower service from,m,
6281,first great western cornish riviera service from,m,
6282,first great western night riviera service from,m,
6283,first great western atlantic coast express service from,m,
6284,first great western intercity service from,m,
6285,first great western red dragon service from,m,
6286,first great western st david service from,m,
6287,first great western hibernian service from,m,
6288,first great western cathedrals express service from,m,
6289,first great western brisfromlian service from,m,
6290,first great western cheltenham spa express service from,m,
6291,first great western cheltenham flier service from,m,
6292,first great western pembroke coast express service from,m,
6293,first great western fromrbay express service from,m,
6294,first great western devon belle service from,m,
6295,first great western merchant venturer service from,m,
6296,thames trains service from,m,
6297,chiltern line service from,m,
6298,virgin trains service from,m,
6299,virgin trains cross country service from,m,
6300,virgin trains devon scot service from,m,
6301,virgin trains dorset scot service from,m,
6302,virgin trains midland scot service from,m,
6303,virgin trains wessex scot service from,m,
6304,virgin trains cornish scot service from,m,
6305,virgin trains cornishman service from,m,
6306,virgin trains devonian service from,m,
6307,virgin trains pines express service from,m,
6308,virgin trains armada service from,m,
6309,great eastern service from,m,
6310,thameslink service from,m,
6311,thameslink city metro service from,m,
6312,thameslink city flier service from,m,
6313,gatwick express service from,m,
6314,wales and west weymouth sand and cycle explorer service from,m,
6315,tarka line service from,m,
6316,alphaline service from,m,
6317,holidaymaker service from,m,
6318,private charter train service from,m,
6319,return charter train service from,m,
6320,steam charter train service from,m,
6321,orient express service from,m,
6322,rugby special service from,m,
6323,football special service from,m,
6324,valley lines service from,m,
6325,virgin trains sussex scot service from,m,
6326,additional football special service from,m,
6327,additional service from,m,
6328,diverted service from,m,
6329,stopping service from,m,
6330,racecourse special service from,m,
6331,special charter service from,m,
6332,cardiff railways service from,m,
6333,for seat reservations holders only service from,m,
6334,the watercress line,e,
6335,the watercress line,m,
6336,the watercress line service to,m,
6337,the watercress line service from,m,
6338,the mid hants steam railway,m,
6339,the mid hants steam railway,e,
6340,the mid hants steam railway service to,m,
6341,the mid hants steam railway service from,m,
6342,ABE,e,
6343,ACY - North,e,
6344,ACY - South,e,
6345,ABA,e,
6346,AML,e,
6347,AMT,e,
6348,AMF,e,
6349,APF,e,
6350,AUW,e,
6351,ASC - Ashchurch,e,
6352,ASC,e,
6353,AVN,e,
6354,BAJ,e,
6355,BGD,e,
6356,BNP,e,
6357,BRY,e,
6358,BYD,e,
6359,BYI,e,
6360,BEL,e,
6361,BMT,e,
6362,BDW,e,
6363,BAS,e,
6364,BFE,e,
6365,FMT,e,
6366,RDA,e,
6367,BFE,e,
6368,Bicester Town,e,
6369,BCG,e,
6370,BAW,e,
6371,BHD,e,
6372,BMV,e,
6373,BME,e,
6374,BRU,e,
6375,BUK,e,
6376,BHR,e,
6377,BNM,e,
6378,BYE,e,
6379,CAD,e,
6380,CPH,e,
6381,CDT,e,
6382,CSK,e,
6383,CDU,e,
6384,CDB,e,
6385,CYS,e,
6386,CLN,e,
6387,CNM - Cheltenham,e,
6388,CNO,e,
6389,CPM,e,
6390,CHO,e,
6391,CIM,e,
6392,CLV,e,
6393,CFN,e,
6394,CGN,e,
6395,CWL,e,
6396,CME,e,
6397,CNG,e,
6398,COP,e,
6399,AMR,m,
6400,AND,m,
6401,Applesford,m,
6402,APG,m,
6403,ARD,m,
6404,AGS,m,
6405,ARN,m,
6406,ASF,m,
6407,AHD,m,
6408,ANF,m,
6409,ASK,m,
6410,AST,m,
6411,ATH,m,
6412,AYS,m,
6413,BAC,m,
6414,NLS - Backwell,m,
6415,BNV,m,
6416,BNG,m,
6417,BAH,m,
6418,ZBB,m,
6419,BKG,m,
6420,BWS,m,
6421,Barsbury?,m,
6422,adjacent to the railway line,m,
6423,BAU,m,
6424,BSO,m,
6425,Battersea,m,
6426,BLB,m,
6427,BCF,m,
6428,BRN,m,
6429,BSL,m,
6430,BEB,m,
6431,Beddington Lane,m,
6432,power car problems,e,
6433,the train running on reduced engine power,e,
6434,crewing difficulties,e,
6435,refueling,e,
6436,the late running of a preceding train,e,
6437,being held awaiting a late running connection,e,
6438,passengers for southampton city centre and the docks,s,
6439,please remain on this train and alight at southampton central,e,
6440,BSJ,m,
6441,BEH,m,
6442,Belfast,m,
6443,BEF,m,
6444,BCS,m,
6445,BID,m,
6446,BDL,m,
6447,BKC,m,
6448,BKN,m,
6449,BKP,m,
6450,Birkenhead,m,
6451,BMO,m,
6452,BSW,m,
6453,BNM,m,
6454,BIS,m,
6455,BPT,m,
6456,BHO,m,
6457,BAI,m,
6458,BLT,m,
6459,BLN,m,
6460,BOR,m,
6461,BGS,m,
6462,BNW,m,
6463,BOT,m,
6464,BOC,m,
6465,BBS,m,
6466,ELS - Borehamwood,m,
6467,BWB,m,
6468,BWG,m,
6469,BYS,m,
6470,BRE,m,
6471,BRO,m,
6472,BDG,m,
6473,BRF,m,
6474,BMD,m,
6475,BDB,m,
6476,BDC,m,
6477,BOM,m,
6478,BSY,m,
6479,BYN,m,
6480,Burnham-on-Sea,m,
6481,BUB,m,
6482,BNC,m,
6483,CNL,m,
6484,CLM,m,
6485,CSY,m,
6486,CRA,m,
6487,CMF,m,
6488,DVY,m,
6489,DUD,m,
6490,ELY - Cambridgeshire,m,
6491,ELY,m,
6492,FLN,m,
6493,FOK,m,
6494,SGB - Galton Bridge,m,
6495,GER,m,
6496,GTN - South Glamorgan,m,
6497,GVH,m,
6498,BKQ,m,
6499,HNW,m,
6500,HTH,m,
6501,HRW - Harrow,m,
6502,Hickley Leicestershire,m,
6503,HWY,m,
6504,HNK,m,
6505,HKN,m,
6506,JOH - Dyfed,m,
6507,KNR,m,
6508,KWG,m,
6509,LVJ,m,
6510,LOB,m,
6511,LGN,m,
6512,MAT,m,
6513,Newark,m,
6514,NWT,m,
6515,PEA,m,
6516,PKG,m,
6517,PES,m,
6518,RDC,m,
6519,ROL,m,
6520,RSB,m,
6521,Rugeley,m,
6522,SAD - Sandwell,m,
6523,SLY,m,
6524,SEN,m,
6525,SGB,m,
6526,Smethwick,m,
6527,SWS,m,
6528,Stoke,m,
6529,SBJ,m,
6530,Stourbridge,m,
6531,SYS,m,
6532,TAL,m,
6533,TAB,m,
6534,THL,m,
6535,TIP,m,
6536,TUT,m,
6537,TYC,m,
6538,WRP,m,
6539,Watford,m,
6540,WLN - Shropshire,m,
6541,WLN,m,
6542,WIL,m,
6543,WSF,m,
6544,ALR,m,
6545,Angel Road,m,
6546,AFS - Middlesex,m,
6547,BYA,m,
6548,BET,m,
6549,BIC,m,
6550,BTR,m,
6551,BRE,m,
6552,BMD,m,
6553,BXB,m,
6554,BCV,m,
6555,BGA,m,
6556,BUC,m,
6557,BUE,m,
6558,BUU,m,
6559,BHK,m,
6560,CBH,m,
6561,CNY,m,
6562,CTH,m,
6563,CFR,m,
6564,CWC,m,
6565,CHM,m,
6566,Chineham,m,
6567,CLA,m,
6568,CLG,m,
6569,CSD - Cobham,m,
6570,CET,m,
6571,COL,m,
6572,CSA,m,
6573,CES,m,
6574,DSM,m,
6575,Dibden Purlieu,m,
6576,DOW,m,
6577,DUL,m,
6578,EDR,m,
6579,EFF,m,
6580,ENL,m,
6581,ENF,m,
6582,EWW,m,
6583,EXM,m,
6584,EXN,m,
6585,Banbridge,m,
6586,FRM,m,
6587,HOR,m,
6588,FEL,m,
6589,FNT,m,
6590,FLE,m,
6592,GDP,m,
6593,"GIL,GLM",m,
6594,GIL,m,
6595,Gosport,m,
6596,Grazeley,m,
6597,GYM,m,
6598,GNT,m,
6599,HAC,m,
6600,WTO,e,
6601,WRN,e,
6602,WLE,e,
6603,Worcester,e,
6604,WRT,e,
6605,Wroxham,e,
6606,WMD,e,
6607,WHG,e,
6608,WBP,e,
6609,WBP - for earls court,e,
6610,AVY,e,
6611,ABH,e,
6612,AGL,e,
6614,ACG,e,
6615,Acocks,e,
6616,ACC,e,
6617,AML,e,
6618,Acton South,e,
6619,ADD,e,
6620,SNA - Agbrigg,e,
6621,ANS,e,
6622,AIN,e,
6623,AIR,e,
6624,ADR,e,
6625,AAP,e,
6626,ALX,e,
6627,ASS,e,
6628,ALN,e,
6629,ABC,e,
6631,HAD,m,
6632,HAS,m,
6633,HMC,m,
6634,HMP,m,
6635,HRO,m,
6641,HYH,m,
6643,INT,m,
6644,ISL,m,
6646,LOF,m,
6647,Willenhall,e,
6648,Aldridge,e,
6650,MNG,m,
6651,MNP,m,
6652,MYL,m,
6654,MES,m,
6657,OUN,m,
6658,OUS,m,
6659,PON,m,
6662,PRL,m,
6664,COY,e,
6665,CDI,e,
6666,CUM,e,
6667,Cumbrae,e,
6668,???,e,
6669,DCT,e,
6670,DPT,e,
6671,DIG,e,
6672,Dinas,e,
6673,DNS,e,
6674,DGL,e,
6675,DOC,e,
6676,DOL,e,
6677,DCW,e,
6678,DTW,e,
6679,EAR,e,
6680,EBK,e,
6681,EGG,e,
6682,EXT,e,
6683,EXM,e,
6684,EXN,e,
6685,FRW,e,
6686,FNN,e,
6687,FEL,e,
6688,FER,e,
6689,FFA,e,
6690,FIN,e,
6691,GMG,e,
6692,GTH,e,
6693,GFF,e,
6694,GOR,e,
6695,GTN,e,
6696,GRT,e,
6697,GMV,e,
6698,GSL,e,
6699,HND,e,
6700,HAN,e,
6701,HSL,e,
6702,HTN,e,
6703,HAY,e,
6704,HHL,e,
6705,HLL,e,
6706,PCD,e,
6707,HOT,e,
6708,HYD,e,
6709,HYB,e,
6710,HPT,e,
6711,HOU,e,
6712,HGD,e,
6713,ISP,e,
6714,IVR,e,
6715,IVY,e,
6716,KEM,e,
6717,KEY,e,
6718,KWL,e,
6719,KGT,e,
6720,KGN,e,
6721,KNI,e,
6722,KGS,e,
6723,KIT,e,
6724,KNU,e,
6725,LAM,e,
6726,LNY,e,
6727,LAP,e,
6728,LWH,e,
6729,LED,e,
6730,LEO,e,
6731,LVT,e,
6732,LLT,e,
6733,LNB,e,
6734,LLN,e,
6735,LLL,e,
6736,LLV,e,
6737,LLO,e,
6738,LLJ,e,
6739,LLI,e,
6740,LLG,e,
6741,LLM,e,
6742,LLH,e,
6743,LGO,e,
6744,LLS,e,
6745,LNR,e,
6746,LNW,e,
6747,LLY,e,
6748,LNG,e,
6749,LYD,e,
6750,LYM,e,
6751,LYC,e,
6752,MST,e,
6753,MEW,e,
6754,MDN,e,
6755,MAI,e,
6756,MVL,e,
6757,MAO,e,
6758,MKM,e,
6759,MEN,e,
6760,MER,e,
6761,MEV,e,
6762,MDG,e,
6763,MTP,e,
6764,MRD,e,
6765,MTL,e,
6766,MTA,e,
6767,NAN,e,
